SampleID	Raw	QF	Dereplicated	Decontaminated
03G.CLEAN	10175396	8951622	5409014	2700888
060721ABT	13459956	11447302	10452052	5151992
060821ABT	9802706	8742964	7935908	3949709
061421ABT	14714314	12475786	11390418	5651223
061521ABT	15779256	13540346	12370410	5826447
062121ABT	6787254	5599502	5381924	2216077
062221ABT	11205720	9606444	8840172	4369320
062821ABT	11629100	10185880	9320328	4585320
062921MRT	6308578	5597830	5150164	2505102
071321ABT	5664352	5000038	4575956	2228479
071421MRT	15843652	13344934	12336586	6083777
071921ABT	16687388	14192284	13086792	6413207
071U	16634684	12680918	6047942	3017191
072021ABT	21485058	18135654	16799592	8239737
080921SM	11959942	10000762	9425920	4692378
081821AB	11415784	9451284	9079580	4524660
082521MR	14207866	11986876	11044382	5141865
082621SH1	16057120	13684902	12516308	6231732
082621SH2	9910518	8763208	7983460	3706127
090121SM	11559034	9889574	9081028	4455329
090321SH	14984182	12752248	11766830	5803851
091021AB	7909380	6894338	6454152	3017887
091721ABU	13243896	11454936	10749060	5233759
AM1	14299048	12154214	8558260	4272397
BHI-1	744912	428574	426140	209526
BHI-2	39316	28644	28438	12941
COMM1	15117768	12959816	11941982	5963700
COMM2	18857520	16148146	14757420	7369895
EHS.08.1	19894018	16693750	14879552	7427681
EHS.08.2	19157750	15673872	14232564	7427681
EHS.CL.1	15402018	12815802	11934292	5957916
EHS.CL.2	6877098	6150212	5536132	5957916
I_BK-1	26896	20772	19910	8702
I_BK-2	19100	13994	13864	5413
I_BK-F01-1	11924342	10548450	9659948	4829047
I_BK-F01-2	15768328	13925988	12474322	6235819
I_BK-F01-3	16801130	14755510	13244544	6619825
I_BK-F02-1	13544484	11832144	10701830	5349676
I_BK-F02-2	16954878	14909720	13271086	6633949
I_BK-F02-3	20805736	18032270	15957404	7975355
I_BK-F06-1	15422914	13433444	12181702	6089312
I_BK-F06-2	20125870	17404566	15461900	7728871
I_BK-F06-3	20661698	17062050	15460358	7725677
I_BK-F09-1	13640094	11991386	10748556	5370321
I_BK-F09-2	14965860	13186044	11931402	5960602
I_BK-F09-3	16956276	15087256	13330720	6658875
I_BK-F15-1	9918346	8499290	8041766	4020161
I_BK-F15-2	502174	452430	411664	204948
I_BK-F15-3	1216940	1103678	1002324	500229
I_BK-F16-1	9260746	7002672	6808006	3403212
I_BK-F16-2	8924934	7909992	7204414	3601001
I_BK-F16-3	16979128	15082684	13247140	6622276
I_PN-1	471634	390492	359616	174119
I_PN-2	59266	43254	42122	19727
I_PN-F01-1	17995306	15273090	13902508	6949656
