feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroides.uniformis	Fraction	SOLUBLE	3.20410863247603	0.336434346618266	71	71	0.0000000000000695485800556605	0.00000000000312968610250472
Bacteroides.xylanisolvens	Fraction	SOLUBLE	3.46100353573471	0.435081786458515	71	71	0.0000000000386996159956529	0.000000000580494239934793
Bacteroides.caccae	Fraction	SOLUBLE	3.52058574676518	0.437475610705382	71	71	0.0000000000265775470206778	0.000000000580494239934793
Bacteroides.thetaiotaomicron	Fraction	SOLUBLE	3.47575967551717	0.453508334866411	71	71	0.000000000125984612272528	0.00000000141732688806594
Bacteroides.ovatus	Fraction	SOLUBLE	2.6976846820914	0.417234402616368	71	71	0.0000000159473993998826	0.000000143526594598943
Phocaeicola.dorei	Fraction	SOLUBLE	2.83749541404553	0.454771863998199	71	71	0.0000000393348376579198	0.000000295011282434399
Phocaeicola.vulgatus	Fraction	SOLUBLE	2.50558063785892	0.408932033223278	71	71	0.0000000613268498671981	0.000000394244034860559
Bifidobacterium.catenulatum	Fraction	SOLUBLE	0.945579866171481	0.212032464543586	71	71	0.0000338781082700604	0.00019056435901909
Bifidobacterium.pseudocatenulatum	Fraction	SOLUBLE	0.971974263667248	0.23033196981109	71	71	0.00007861477206375	0.00039307386031875
Faecalibacterium.prausnitzii	Fraction	SOLUBLE	1.03071705583169	0.276197726999947	71	71	0.000406085477020727	0.00182738464659327
Clostridium.intestinale	Fraction	SOLUBLE	-1.47333913803295	0.488694654342148	71	71	0.00368320244584894	0.015067646369382
Collinsella.aerofaciens	Fraction	SOLUBLE	0.699832384944908	0.253679574790949	71	71	0.00755688042988123	0.0283383016120546
Clostridium.argentinense	Fraction	SOLUBLE	-1.40284010374096	0.543375097785616	71	71	0.0121309028323632	0.0419915867274111
Clostridium.botulinum	Fraction	SOLUBLE	-1.15948708587546	0.483228782602339	71	71	0.0193410773991301	0.0621677487829181
Clostridium.pasteurianum	Fraction	SOLUBLE	-1.10656562255819	0.469668665626153	71	71	0.0215442800048227	0.064632840014468
Enterococcus.faecalis	Fraction	SOLUBLE	1.33352813147029	0.581374735140191	71	71	0.0250975319962317	0.0705868087394016
Clostridium.novyi	Fraction	SOLUBLE	-1.1852458946283	0.528315620886239	71	71	0.0283364463104586	0.0750082402335669
Clostridium.estertheticum	Fraction	SOLUBLE	-1.26030872020593	0.571854888031721	71	71	0.0311355759177903	0.0778389397944757
Clostridium.sp..CT4	Fraction	SOLUBLE	-1.0230387033414	0.490892346373259	71	71	0.0411536254011941	0.0933749328698174
Clostridium.bornimense	Fraction	SOLUBLE	-1.09712831777425	0.527371528096063	71	71	0.0414999701643633	0.0933749328698174
Clostridium.taeniosporum	Fraction	SOLUBLE	-1.05689727774897	0.516869871421915	71	71	0.0449913328284949	0.0964099989182033
Escherichia.coli	Fraction	SOLUBLE	1.46463168688076	0.732539148130564	71	71	0.0498134514788009	0.0986552354506499
Clostridium.baratii	Fraction	SOLUBLE	-1.05103876426505	0.533091495151783	71	71	0.0529820698587166	0.0986552354506499
Clostridium.beijerinckii	Fraction	SOLUBLE	-1.04043924573583	0.531867579417276	71	71	0.0548084641392499	0.0986552354506499
Clostridium.saccharoperbutylacetonicum	Fraction	SOLUBLE	-0.932109739800486	0.469920820455905	71	71	0.0515997338145667	0.0986552354506499
Clostridium.perfringens	Fraction	SOLUBLE	-0.89906197303727	0.467863814891693	71	71	0.0591068226210657	0.102244270520754
Clostridium.chauvoei	Fraction	SOLUBLE	-0.978451458027946	0.513768294367489	71	71	0.0613465623124525	0.102244270520754
Clostridium.sp..DL.VIII	Fraction	SOLUBLE	-0.957593632857344	0.510654867151415	71	71	0.0653248645521938	0.104986389458883
Paeniclostridium.sordellii	Fraction	SOLUBLE	-1.07739593436539	0.60582746904354	71	70	0.0800894489980355	0.120417242174047
Bifidobacterium.adolescentis	Fraction	SOLUBLE	0.430767419628293	0.242378293430566	71	71	0.0802781614493646	0.120417242174047
Clostridium.septicum	Fraction	SOLUBLE	-0.861314700474704	0.521604831371617	71	71	0.103580485657096	0.150358769502236
Clostridium.saccharobutylicum	Fraction	SOLUBLE	-0.790994127968546	0.513564522554771	71	71	0.128440538321113	0.180619507014065
Clostridium.sp..MF28	Fraction	SOLUBLE	-0.906671236473009	0.612558692775164	71	57	0.1437423548117	0.190247234309603
Clostridium.diolis	Fraction	SOLUBLE	-0.842262607835012	0.565176016693912	71	63	0.141066352349606	0.190247234309603
Turicibacter.sanguinis	Fraction	SOLUBLE	-1.16738538674917	0.798604476326985	71	71	0.148693329446263	0.191177137859482
Clostridium.isatidis	Fraction	SOLUBLE	-0.735907931650573	0.530988860753965	71	71	0.170581562475368	0.21322695309421
Clostridium.butyricum	Fraction	SOLUBLE	-0.646823004809189	0.503477606533738	71	71	0.203523729560099	0.247528860275796
Enterococcus.faecium	Fraction	SOLUBLE	0.550461815074181	0.439959470653893	71	71	0.21542831057514	0.255112473049508
Bifidobacterium.longum	Fraction	SOLUBLE	0.32850799605716	0.269909451584324	71	71	0.228033506436795	0.263115584350148
Paraclostridium.bifermentans	Fraction	SOLUBLE	-0.692333162491171	0.703241770560581	71	71	0.32858188023054	0.369654615259357
Romboutsia.sp..CE17	Fraction	SOLUBLE	-0.459629052478138	0.566335562715687	71	71	0.420038173139039	0.461017507103823
Longibaculum.sp..KGMB06250	Fraction	SOLUBLE	0.192982090467726	0.248605701641662	71	71	0.440456136478135	0.471917289083716
Clostridioides.difficile	Fraction	SOLUBLE	-0.231657899601253	0.365229087531108	71	71	0.528157921018397	0.552723405716927
Bacillus.cereus	Fraction	SOLUBLE	-0.122870040794142	0.500076149714464	71	71	0.806698682748225	0.825032743719776
Enterococcus.sp..DA9	Fraction	SOLUBLE	0.0452989605055107	0.684645206622587	71	48	0.947453383130559	0.947453383130559
